subject_id,gt_step_cm,pred_step_all_cm,pred_step_filtered_cm,turn_cycles,outbound_cycles,inbound_cycles
S1_16,61.874,107.61958594420662,64.34447205650223,34,16,10
S1_29,72.26,110.6772825814648,76.74013207979785,36,3,0
S1_14,72.704,108.54902927196531,79.40797505017497,28,16,5
S1_23,68.532,93.19485266637054,60.59332167116518,24,19,0
S1_26,66.588,98.47049068142135,65.4946890080247,30,11,13
S1_30,77.155,111.9796629484597,61.67186332334239,25,8,0
S1_17,61.874,94.61608367899339,60.90149066084911,26,18,0
S1_13,57.925,88.56189044886266,45.61145987245764,23,21,1
S1_01,61.305,94.54610005747709,57.17983619881535,31,31,0
